Onderliggend

Obj-05825 - R1 Oost
Obj-05063 - Afwateringskoker Groot Schijn
Obj-07119 - Betonnen dakplaat afwateringskoker Groot Schijn
Obj-07118 - Betonnen vloerplaat afwateringskoker Groot Schijn
Obj-07116 - Damwand afwateringskoker Groot Schijn
Obj-07117 - Kopbalk afwateringskoker Groot Schijn
Obj-07120 - Tijdelijke bemaling afwateringskoker Groot Schijn
Obj-07667 - Verlegging riool zone 2b / zone 3
Obj-07372 - Albertkanaal t.p.v. R1O
Obj-05870 - Hoofdweg R1 NO
Obj-07909 - Calamiteiten doorsteek (CADO) van Schijnpoorttunnel verdiepte ligging Lobroek
Obj-03041 - Calamiteitendoorsteek (CADO) OKA MWE1-MWF1 verdiepte ligging Lobroek
Obj-05913 - Calamiteitendoorsteek (CADO) OKA MWF1-MWB1 verdiepte ligging Lobroek
Obj-06079 - Calamiteitendoorsteek (CADO) Schijnpoorttunnel/ASC Schijnpoort t.p.v. verdiepte ligging Schijnpoort
Obj-06237 - MW41 - Verbindingsweg Tracé A13 - Tracé R1NO t.p.v. knoop Antwerpen Oost
Obj-05909 - MWB1 - Verbindingsweg Tracé R1NO - Trace R1NW t.p.v. verdiepte ligging Lobroek
Obj-05910 - MWC1 - Verbindingsweg Tracé R1NW - Trace R1NO t.p.v. verdiepte ligging Lobroek
Obj-05916 - MWE1 – HRB Knooppunt Antwerpen Noord - Knooppunt Antwerpen Oost t.p.v. Schijnpoorttunnel
Obj-05907 - MWE1 – HRB Knooppunt Antwerpen Noord - Knooppunt Antwerpen Oost t.p.v. verdiepte ligging Lobroek
Obj-05937 - MWE1 – HRB Knooppunt Antwerpen Noord - Knooppunt Antwerpen Oost t.p.v. verdiepte ligging Schijnpoort
Obj-05935 - MWE1 - Verbindingsweg Tracé A1 - Trace R1NO t.p.v. verdiepte ligging Lobroek
Obj-05958 - MWE1 – Verbindingsweg Tracé R1NO - Tracé R1Zuid t.p.v. knoop Antwerpen Oost
Obj-05932 - MWE1 – Verbindingsweg Tracé R1NO - Tracé R1Zuid t.p.v. verdiepte ligging Antwerpen Oost
Obj-05941 - MWE1 – Verbindingsweg Tracé R1NO - Tracé R1Zuid t.p.v. verdiepte ligging Schijnpoort
Obj-05949 - MWF1 – HRB Knooppunt Antwerpen Oost - Knooppunt Antwerpen Noord t.p.v. knoop Antwerpen Oost
Obj-05917 - MWF1 – HRB Knooppunt Antwerpen Oost - Knooppunt Antwerpen Noord t.p.v. Schijnpoorttunnel
Obj-05933 - MWF1 – HRB Knooppunt Antwerpen Oost - Knooppunt Antwerpen Noord t.p.v. verdiepte ligging Antwerpen Oost
Obj-05908 - MWF1 – HRB Knooppunt Antwerpen Oost - Knooppunt Antwerpen Noord t.p.v. verdiepte ligging Lobroek
Obj-05942 - MWF1 – HRB Knooppunt Antwerpen Oost - Knooppunt Antwerpen Noord t.p.v. verdiepte ligging Schijnpoort
Obj-05943 - MWF1 - Verbindingsweg Tracé R1NO - Trace A1 t.p.v. verdiepte ligging Lobroek
Obj-05959 - MWF1 – Verbindingsweg Tracé Zuid - Tracé R1NO t.p.v. knoop Antwerpen Oost
Obj-06235 - MWG1 - Oprit Schijnpoort richting Tracé R1 Noord Oost t.p.v. verdiepte ligging Schijnpoort
Obj-05961 - MWH1 - Oprit Schijnpoort richting Trace R1Zuid t.p.v. knoop Antwerpen Oost
Obj-05936 - MWH1 - Oprit Schijnpoort richting Trace R1Zuid t.p.v. verdiepte ligging Antwerpen Oost
Obj-06184 - MWH2 - Oprit Schijnpoort richting Trace A13 t.p.v. knoop Antwerpen Oost
Obj-05934 - MWH2 - Oprit Schijnpoort richting Trace A13 t.p.v. verdiepte ligging Antwerpen Oost
Obj-06236 - MWI1 - Afrit Schijnpoort vanaf tracé R1 Noord Oost t.p.v. verdiepte ligging Schijnpoort
Obj-05962 - MWJ1 - Afrit Schijnpoort vanaf Trace R1Zuid t.p.v. knoop Antwerp Oost Open
Obj-05964 - MWJ1 - Afrit Schijnpoort vanaf Trace R1Zuid t.p.v. knoop Antwerp Oost Open 2
Obj-05963 - MWJ1 - Afrit Schijnpoort vanaf Trace R1Zuid t.p.v. knoop Antwerp Oost Overdekt
Obj-05965 - MWJ1 - Afrit Schijnpoort vanaf Trace R1Zuid t.p.v. verdiepte ligging Antwerpen Oost
Obj-05944 - MWJ2 - Afrit Schijnpoort vanaf Trace A13 t.p.v. verdiepte ligging Antwerpen Oost
Obj-05960 - MWQ1 - Verbindingsweg Tracé R1NO - Tracé A13 t.p.v. knoop Antwerpen Oost
Obj-05940 - MWQ1 - Verbindingsweg Tracé R1NO - Tracé A13 t.p.v. verdiepte ligging Antwerpen Oost Open
Obj-05939 - MWQ1 - Verbindingsweg Tracé R1NO - Tracé A13 t.p.v. verdiepte ligging Antwerpen Oost Overdekt
Obj-05938 - MWQ1 - Verbindingsweg Tracé R1NO - Tracé A13 t.p.v. verdiepte ligging Schijnpoort
Obj-06798 - Tijdelijke wegenis E313 R1-Noord
Obj-02711 - K&L tracés R1-Oost
Obj-07682 - K&L bestaand R1 Oost (te handhaven/verwijderen)
Obj-06411 - K&L oplossing Schijnpoort
Obj-06362 - L0440O - K&L Aansluiting VIP-parking Sportpaleis
Obj-06354 - L0440O - K&L Zone Tweemontstraat
Obj-06450 - Sleuf Nuts
Obj-06451 - Sleuf Rio
Obj-06358 - L0445W - K&L Aansluitingen zone Slachthuislaan
Obj-06388 - Sleuf waterlink
Obj-06360 - L0451O - K&L Doorsteek SPW Sportpaleis
Obj-06369 - L0451O - K&L Doorsteek Sportpaleis
Obj-06370 - Sleuf 1
Obj-06371 - Sleuf 2
Obj-06372 - Sleuf 3
Obj-06368 - Sleuf DeLijn
Obj-06361 - L0462O - K&L VanDerDelftstraat (incl. riolering)
Obj-06380 - Sleuf Nuts
Obj-06381 - Sleuf Rio
Obj-06355 - L0466O - K&L Dwarsing Bisschoppenhoflaan
Obj-06365 - Doorsteek BHL – open sleuf
Obj-06363 - Gestuurde boring - BHL noord (profiel 5)
Obj-06364 - Gestuurde boring - BHL zuid (profiel 6)
Obj-06366 - Mofput J6A
Obj-06367 - Mofput J6B
Obj-06040 - Persing Bisschoppenhoflaan
Obj-06042 - Ontvangstput Bisschoppenhoflaan
Obj-06043 - Persbuis 1 Bisschoppenhoflaan
Obj-06044 - Persbuis 2 Bisschoppenhoflaan
Obj-06045 - Persbuis 3 Bisschoppenhoflaan
Obj-06041 - Persput Bisschoppenhoflaan
Obj-06359 - L0466W - K&L Doorsteek SPW bij Passerelle
Obj-06377 - Doorsteek Passerelle
Obj-06378 - Sleuf 4
Obj-06379 - Sleuf 5
Obj-06373 - Mofput J2A
Obj-06375 - Mofput J2B
Obj-06374 - Mofput J3A
Obj-06376 - Mofput J3B
Obj-06357 - L0467O - K&L Oostelijke aansluiting Leidingkoker SPW
Obj-06383 - Mofput J5A
Obj-06384 - Mofput J5B
Obj-06382 - Sleuf Nuts
Obj-06757 - Telecom trekbak 1
Obj-06758 - Telecom trekbak 2
Obj-06759 - Telecom trekbak 3
Obj-06760 - Telecom trekbak 4
Obj-06761 - Telecom trekbak 5
Obj-06762 - Telecom trekbak 6
Obj-06763 - Telecom trekbak 7
Obj-06764 - Telecom trekbak 8
Obj-06765 - Telecom trekbak 9
Obj-06356 - L0467W - K&L Westelijke aansluiting Leidingkoker SPW
Obj-06386 - Mofput J4A
Obj-06387 - Mofput J4B
Obj-06385 - Sleuf Nuts
