Onderliggend

Obj-05902 - R1 Oost Context
Obj-05568 - Afwateringsleidingen RWZI
Obj-05585 - Brialmontomwalling
Obj-05567 - Brialmontomwalling zone Kempische vaart
Obj-05236 - Brialmontomwalling zone Schijnpoort
Obj-07336 - Nieuwe fietsbrug over Groot Schijn
Obj-02862 - Parkeergebouw Noordersingel
Obj-03607 - Premetro Schijnpoort
Obj-05545 - Keerlus premetro
Obj-05831 - Metrostation Sport
Obj-05834 - Premetrokoker 1
Obj-05835 - Premetrokoker 2
Obj-05836 - Premetrokoker 3
Obj-05837 - Premetrokoker 4
Obj-05839 - Vertrekschacht pre-metro Noord
Obj-05838 - Vertrekschacht pre-metro Zuid
Obj-05220 - Waterloop Groot Schijn
Obj-07933 - Bestaande inkokering Groot Schijn thv Ten Eeckhovelei
Obj-02861 - Groot Schijn noordelijk deel langs sportpaleis naar albertkanaal
Obj-05869 - Koker schijn-schelde (VW01)
Obj-01600 - Pompstation Groot Schijn
Obj-05841 - Schijnkoker R1O (lokaal te verwijderen)
Obj-07934 - Uitstroomconstructie Groot Schijn in Albertkanaal
Obj-06238 - Zone Bedrijven Bedrijven Merksem (Bredalaan)
Obj-05231 - Zone Bedrijven Noordersingel (Borgerhout Intramuros)
Obj-02864 - Afwatering Pompstation Stenenburg (VW01)
Obj-03570 - Aquafincollectoren Schijnpoort (VW01)
Obj-04358 - Bestaande brug E313 over R1 (zuid)
Obj-05570 - Containerpark Noordersingel
Obj-05597 - Federale politie
Obj-05113 - Imobe terrein
Obj-05889 - Kantoorcomplex Noordersingel R1
Obj-04350 - L0465W - K&L Gasontspanstation Schijnpoortweg Fluvius (KW93)
Obj-03676 - Noordersingel
Obj-05598 - Pompstation Stenenbrug
Obj-05230 - RWZI Deurne
Obj-04348 - CB Wand RWZI Deurne
Obj-05120 - Collectoren op terrein RWZI
Obj-05213 - Slibgistingstank RWZI Deurne
Obj-05214 - Toegang tot parkeergarage Antwerp Ring Center
Obj-04347 - VW13 - Fietsbrug en Passarelle deel stad
Obj-05227 - Zone Bedrijven Slachthhuislaan (Den Dam)
Obj-05829 - Gebouw Aldi Slachthuislaan
Obj-05830 - Gebouw Drankenhandel en autohandel Slachthuislaan
Obj-05828 - Gebouw oud slachthuis (gebouw Transma)
Obj-04995 - Lozingspunt LP10
Obj-02622 - Slachthuislaan
Obj-07123 - Terrein Kras Jeugdwerk - steunpunt Dam - Slachthuislaan
Obj-05492 - Zone bewoning Lakbors
Obj-03678 - Ten Eekhovenlei
Obj-05174 - Zone Groot Schijn Parkstrook (Deurne)
Obj-05572 - Archeologisch terrein schijnvallei
Obj-05580 - Archeologisch terrein ten zuiden van de schijnvallei
Obj-06326 - Bestaande collector Aquafin parallel aan de R1
Obj-05596 - Residentie Rivierenhof
Obj-05832 - Volkstuintjes Papenhof
Obj-05586 - Zone opgravingen Papenhof
Obj-05229 - Zone Sportpaleis
Obj-05114 - Lotto Arena
Obj-05884 - Parking Lotto Arena Slachthuislaan
Obj-05164 - Raoul Grégoirplein
Obj-05112 - Sportpaleis
Obj-07919 - Terreinen Betofin
Obj-05593 - Gebouw Gommaire
Obj-05591 - Gebouw Holcim
Obj-05592 - Gebouw Levanto
Obj-05594 - Gebouw Rental
Obj-03675 - Toegangsweg Lotto Arena
Obj-06473 - Tweemontstraat

