AutoID,Naam,Omschrijving,Model status,Model actueel?,ObjectID,Objectnaam,Object actueel?
MDL-3733,OWRB-07070-ROC-XRF-W40-000017,2D-Werfweg-RVP124-sportpaleis-situatie+1,Nieuw,Ja,,,
MDL-3732,OWRB-07070-ROC-XRF-W40-000016,2D-Werfweg-RVP124-lbd west-situatie+1,Nieuw,Ja,,,
MDL-3731,OWRB-07070-ROC-XRF-W40-000015,2D-Werfweg-RVP123-schijnpoortweg zuid-situatie+1,Nieuw,Ja,,,
MDL-3730,OWRB-07070-ROC-XRF-W40-000014,2D-Werfweg-RVP123- imobe-situatie+1,Nieuw,Ja,,,
MDL-3729,OWRB-07070-ROC-XRF-W40-000013,2D-Werfweg-RVP123-aquafin-situatie+3,Nieuw,Ja,,,
MDL-3728,OWRB-07070-ROC-XRF-W40-000012,2D-Werfweg-RVP123-aquafin-situatie+2,Nieuw,Ja,,,
MDL-3727,OWRB-07070-ROC-XRF-W40-000011,2D-Werfweg-RVP123-aquafin-situatie+1,Nieuw,Ja,,,
MDL-3726,OWRB-07070-ROC-XRF-W40-000010,2D-Werfweg-RVP123-schijnpoortweg zuid-situatie+1,Nieuw,Ja,,,
MDL-3725,OWRB-07070-ROC-XRF-W40-000009,2D-Werfweg-RVP122-van pompstation naar spw west-situatie+1,Nieuw,Ja,,,
MDL-3724,OWRB-07070-ROC-XRF-W40-000008,2D-Werfweg-RVP122-van pompstation naar spw oost -situatie+2,Nieuw,Ja,,,
MDL-3723,OWRB-07070-ROC-XRF-W40-000007,2D-Werfweg-RVP122-van pompstation naar spw oost -situatie+1,Nieuw,Ja,,,
MDL-3722,OWRB-07070-ROC-XRF-W40-000006,2D-Werfweg-RVP121-slachthuislaan-situatie+2,Nieuw,Ja,,,
MDL-3720,OWRB-07070-ROC-XRF-W40-000005,2D-Werfweg-RVP121-lbd west-situatie+1,Nieuw,Ja,,,
MDL-3719,OWRB-07070-ROC-XRF-W40-000004,2D-Werfweg-RVP121-inrit bouwput oka-situatie+4,Nieuw,Ja,,,
MDL-3718,OWRB-07070-ROC-XRF-W40-000003,2D-Werfweg-RVP121-inrit bouwput oka-situatie+3,Nieuw,Ja,,,
MDL-3717,OWRB-07070-ROC-XRF-W40-000002,2D-Werfweg-RVP121-inrit bouwput oka-situatie+2,Nieuw,Ja,,,
MDL-3716,OWRB-07070-ROC-XRF-W40-000001.dwg,2D-Werfweg-RVP121-inrit bouwput oka-situatie+1,Nieuw,Ja,,,
MDL-3619,3D-model,,Nieuw,Ja,,,
MDL-3616,3D-model,,Nieuw,Ja,,,
MDL-3614,3D-model,,Nieuw,Ja,,,
MDL-3594,3D-model,,Nieuw,Ja,,,
MDL-3592,3D-model,,Nieuw,Ja,,,
MDL-3589,3D-model,HW-BT-Merksem viaduct onderbouw,Nieuw,Ja,,,
MDL-3588,3D-model,,Nieuw,Ja,,,
MDL-3587,3D-model,,Nieuw,Ja,,,
MDL-3580,OWRB-03530-ROC-DMO-W32-000001,R1O-DET-TIJ - Aansluiting trambaan Bisschoppenhoflaan,Nieuw,Ja,,,
MDL-3579,OWRB-03530-ROC-BMO-W32-000001,R1O-DET-TIJ - Aansluiting trambaan Bisschoppenhoflaan,Nieuw,Ja,,,
MDL-3578,OWRB-06290-ROC-TMO-W28-000001,Zoneringsplan grondwerkzaamheden werfwegen Dive under,Nieuw,Ja,,,
MDL-3576,OWRB-06221-ROC-DMB-W28-000001,R1O-FA-TIJ-Ontgravingsmodel Dive Under_Contouren grondwerk,Nieuw,Ja,Obj-06290,Dive under aansluiting van R1 naar E313 (MWQ1),Ja
MDL-3575,OWRB-06221-ROC-DMA-W28-000001,R1O-FA-TIJ-Ontgravingsmodel Dive Under_surfaces,Nieuw,Ja,Obj-06290,Dive under aansluiting van R1 naar E313 (MWQ1),Ja
MDL-3567,OWRB-06473-ROC-DMO-W32-000001,R1O-DTM-OT - Tweemontstraat,Nieuw,Ja,,,
MDL-3566,OWRB-06473-ROC-BMO-W32-000001,R1O-DTM-OT - Tweemontstraat,Nieuw,Ja,,,
MDL-3562,OWRB-03677-ROC-DMO-W32-000001,R1O-DTM-OT - Van Der Delftstraat,Nieuw,Ja,,,
MDL-3561,OWRB-03677-ROC-BMO-W32-000001,R1O-DTM-OT - Van Der Delftstraat,Nieuw,Ja,,,
MDL-3548,OWRB-06326-ROC-IMO-W32-000001,R1O-RIO-BT-scan Aquafin Paepenhof,Nieuw,Ja,,,
MDL-3547,3D-model,,Nieuw,Ja,,,
MDL-3546,OWRB-03675-ROC-DMO-W66-000001,Toegangsweg Lotto Arena,Nieuw,Ja,,,
MDL-3545,OWRB-03675-ROC-BMO-W66-000001,Toegangsweg Lotto Arena,Nieuw,Ja,,,
MDL-3544,OWRB-05598-ROC-DMO-W66-000001,Pompstation Stenenburg,Nieuw,Ja,,,
MDL-3542,OWRB-05598-ROC-BMO-W66-000001,Pompstation Stenenburg,Nieuw,Ja,,,
MDL-3541,OWRB-04358-ROC-DMO-W66-000001,"Bestaande brug E313 pver R1 (zuid); Dit object betreft de de brug met daarop het hoofdtracé van de E313, welke kruist met de R1",Nieuw,Ja,,,
MDL-3540,OWRB-04358-ROC-BMO-W66-000001,"Bestaande brug E313 pver R1 (zuid); Dit object betreft de de brug met daarop het hoofdtracé van de E313, welke kruist met de R1",Nieuw,Ja,,,
MDL-3539,3D-model,Gebouw Levanto; Schrijnwerkerij / Meubelmaker - Levanto was een oude huurder van het pand,Nieuw,Ja,,,
MDL-3538,OWRB-05594-ROC-DMO-W66-000001,Gebouw Rental,Nieuw,Ja,,,
MDL-3537,OWRB-05594-ROC-BMO-W66-000001,Gebouw Rental,Nieuw,Ja,,,
MDL-3536,OWRB-05591-ROC-DMO-W66-000001,Gebouw Holcim; Betoncentrale Merksem,Nieuw,Ja,,,
MDL-3535,OWRB-05591-ROC-BMO-W66-000001,Gebouw Holcim; Betoncentrale Merksem,Nieuw,Ja,Obj-05591,Gebouw Holcim,Ja
MDL-3534,3D-model,,Nieuw,Ja,,,
MDL-3533,OWRB-05593-ROC-DMO-W66-000001,Gebouw Gommaire,Nieuw,Ja,,,
