AutoID,Naam,Omschrijving,Model status,Model actueel?,ObjectID,Objectnaam,Object actueel?
MDL-2868,OWRB-02854-ROC-BMO-W27-000001,R1N-NT-BT- Aansluitingen Leidingenkoker Groenendaallaan,Vervallen,Ja,Obj-02854,K0232 - K&L Leidingkoker Groenendaallaan,Ja
MDL-2850,OWRB-04329-ROC-DMO-W66-000001,R1O-HW-BT - Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden & op te breken),Nieuw,Ja,Obj-05833,Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden),Ja
MDL-2850,OWRB-04329-ROC-DMO-W66-000001,R1O-HW-BT - Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden & op te breken),Nieuw,Ja,Obj-06227,Polderwand west - verdiepte ligging Schijnpoort (deel bestaand op te breken),Ja
MDL-2849,OWRB-04329-ROC-BMO-W66-000001,R1O-HW-BT - Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden & op te breken),Nieuw,Ja,Obj-05833,Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden),Ja
MDL-2849,OWRB-04329-ROC-BMO-W66-000001,R1O-HW-BT - Polderwand west - verdiepte ligging Schijnpoort (deel bestaand - te behouden & op te breken),Nieuw,Ja,Obj-06227,Polderwand west - verdiepte ligging Schijnpoort (deel bestaand op te breken),Ja
MDL-2847,OWRB-05902-ROC-TMO-W66-000002,R1O-HW-BT - Bouwplaatse Informatie Objectdefinitietekening,Nieuw,Ja,,,
MDL-2843,OWRB-05231-ROC-DMO-W66-000001,R1O-HW-BT - Federale politie (Obj-05597); Kantoorcomplex Noordersingel R1 (Obj-05889); Toegang tot parkeergarage Antwerp Ring Center (Obj-05214),Nieuw,Ja,,,
MDL-2842,OWRB-05231-ROC-BMO-W66-000001,R1O-HW-BT - Federale politie (Obj-05597); Kantoorcomplex Noordersingel R1 (Obj-05889); Toegang tot parkeergarage Antwerp Ring Center (Obj-05214),Nieuw,Ja,Obj-05231,Zone Bedrijven Noordersingel (Borgerhout Intramuros),Ja
MDL-2829,OWRB-05567-ROC-DMO-W32-000001,TOKA-DET-BT - Archeologisch onderzoek OKA,Nieuw,Ja,,,
MDL-2827,OWRB-05567-ROC-BMO-W32-000001,TOKA-DET-BT - Archeologisch onderzoek OKA,Nieuw,Ja,,,
MDL-2774,OWRB-06362-ROC-IMO-W32-000001,R1O-WEG-BT- VIP parking Sportpaleis,Nieuw,Ja,,,
MDL-2729,OWRB-07625-ROC-DMO-W28-000001,R1O(N) -FA-TIJ-potentiele opslag gecontamineerd materiaal,Nieuw,Ja,,,
MDL-2728,OWRB-07625-ROC-BMO-W28-000001,R1O(N) -FA-TIJ-potentiele opslag gecontamineerd materiaal,Nieuw,Ja,,,
MDL-2708,OWRB-05112-ROC-DMO-W66-000002,R1O-HW-BT - Sportpaleis,Vervallen,Ja,,,
MDL-2707,OWRB-05902-ROC-TMO-W66-000001,R1O-HW-BT - Objectdefinitietekening bestaande en te slopen objecten,Nieuw,Ja,Obj-05902,R1 Oost Context,Ja
MDL-2698,OWRB-03678-ROC-DMO-W66-000001,R1O-HW-BT - Ten Eekhovenlei,Nieuw,Ja,Obj-03678,Ten Eekhovenlei,Ja
MDL-2697,OWRB-03678-ROC-BMO-W66-000001,R1O-HW-BT - Ten Eekhovenlei,Nieuw,Ja,Obj-03678,Ten Eekhovenlei,Ja
MDL-2685,OWRB-05113-ROC-DMO-W66-000001,R1O-HW-BT- Imobe Terrain,Nieuw,Ja,Obj-05113,Imobe terrein,Ja
MDL-2684,OWRB-05113-ROC-BMO-W66-000001,R1O-HW-BT- Imobe Terrain,Nieuw,Ja,Obj-05113,Imobe terrein,Ja
MDL-2681,OWRB-05570-ROC-DMO-W66-000002,R1O-HW-BT-Containerpark Noordersingel - Road Solids,Vervallen,Ja,Obj-05570,Containerpark Noordersingel,Ja
MDL-2680,OWRB-05570-ROC-BMO-W66-000002,R1O-HW-BT-Containerpark Noordersingel - Road Solids,Vervallen,Ja,Obj-05570,Containerpark Noordersingel,Ja
MDL-2677,OWRB-05114-ROC-DMO-W66-000001,R1O-HW-BT-Lotto Arena,Nieuw,Ja,Obj-05114,Lotto Arena,Ja
MDL-2676,OWRB-05114-ROC-BMO-W66-000001,R1O-HW-BT-Lotto Arena,Nieuw,Ja,Obj-05114,Lotto Arena,Ja
MDL-2664,OWRB-05226-ROC-DMO-W32-000001,R1N-LS-TIJ - Hekwerk RWZI Lobroekdok,Nieuw,Ja,,,
MDL-2663,OWRB-05226-ROC-BMO-W32-000001,R1O-LS-TIJ - Hekwerk RWZI Lobroekdok,Nieuw,Ja,,,
MDL-2652,OWRB-05831-ROC-DMO-W66-000001,R1O-HW-BT - Metrostation Sport & Keerlus Premetro,Nieuw,Ja,Obj-05831,Metrostation Sport,Ja
MDL-2651,OWRB-05831-ROC-BMO-W66-000001,R1O-HW-BT - Metrostation Sport & Keerlus Premetro,Nieuw,Ja,Obj-05545,Keerlus premetro,Ja
MDL-2651,OWRB-05831-ROC-BMO-W66-000001,R1O-HW-BT - Metrostation Sport & Keerlus Premetro,Nieuw,Ja,Obj-05831,Metrostation Sport,Ja
MDL-2636,OWRB-06411-ROC-XRF-W27-000004,R1O-NT-TIJ- Xref uitvoeringsplan grouting Van der Delftstraat,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2631,OWRB-06212-ROC-XRF-W59-000002,R1O-WEG-TIJ- Xref annotatie aansluiting Dive-under op bestaande R1,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-2630,OWRB-06212-ROC-XRF-W59-000001,R1O-WEG-TIJ- Xref geometrie aansluiting Dive-under op bestaande R1,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-2625,OWRB-06411-ROC-XRF-W27-000003,RIO-WEG-TIJ-SPW werfzone leidingkoker oost,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2621,OWRB-07627-ROC-DMO-W41-000001,R1O-HW-TIJ-Grondkering oostzijde Lobroekdok,Nieuw,Ja,,,
MDL-2620,OWRB-07627-ROC-BMO-W41-000001,R1O-HW-TIJ-Grondkering oostzijde Lobroekdok,Nieuw,Ja,Obj-07627,Grondkering oostzijde Lobroekdok,Ja
MDL-2596,OWVA-S0292-LAN-DMO-W69-000002,SYS0292 - LP12 (Waterbeheersysteem) (c),Nieuw,Ja,Obj-06675,Drainagestelsel R1_Bu,Ja
MDL-2595,OWVA-S0292-LAN-BMO-W69-000002,SYS0292 - LP12 (Waterbeheersysteem) (c),Nieuw,Ja,Obj-06675,Drainagestelsel R1_Bu,Ja
MDL-2594,OWVA-S0292-LAN-DMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06671,Drainagestelsel R1_Bi,Ja
MDL-2594,OWVA-S0292-LAN-DMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06672,Drainagestelsel R1-E313_oost,Ja
MDL-2594,OWVA-S0292-LAN-DMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06678,Drainagestelsel R1-E313_west,Ja
MDL-2593,OWVA-S0292-LAN-BMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06671,Drainagestelsel R1_Bi,Ja
MDL-2593,OWVA-S0292-LAN-BMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06672,Drainagestelsel R1-E313_oost,Ja
MDL-2593,OWVA-S0292-LAN-BMO-W69-000001,SYS0292 - LP12 (Waterbeheersysteem) (f-g-h),Nieuw,Ja,Obj-06678,Drainagestelsel R1-E313_west,Ja
MDL-2538,OWRB-05112-ROC-DMO-W66-000001,R1O-HW-BT-Sportpaleis,Nieuw,Ja,Obj-05112,Sportpaleis,Ja
MDL-2537,OWRB-05112-ROC-BMO-W66-000001,R1O-HW-BT-Sportpaleis,Nieuw,Ja,Obj-05112,Sportpaleis,Ja
MDL-2508,OWRB-05570-ROC-DMO-W66-000001,R1O-HW-BT-Containerpark Noordersingel,Nieuw,Ja,Obj-05570,Containerpark Noordersingel,Ja
MDL-2507,OWRB-05570-ROC-BMO-W66-000001,R1O-HW-BT-Containerpark Noordersingel,Nieuw,Ja,Obj-05570,Containerpark Noordersingel,Ja
MDL-2492,OWRB-05112-ROC-XRF-W59-000002,R1O-WEG-TIJ-Xref werfweg tussen Betofin en Sportpaleis annotatie,Nieuw,Ja,Obj-05112,Sportpaleis,Ja
MDL-2491,OWRB-05112-ROC-XRF-W59-000001,R1O-WEG-TIJ-Xref werfweg tussen Betofin en Sportpaleis geometrie,Nieuw,Ja,Obj-05112,Sportpaleis,Ja
MDL-2489,OWRB-06411-ROC-XRF-W27-000002,R1O-RIO-TIJ-Xref bemaling & persleiding RWZI Schijnpoort deel 2,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2488,OWRB-06411-ROC-XRF-W27-000001,R1O-RIO-TIJ-Xref aanvoer bemalingswater WZI Lobroekdok,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2459,OWRB-06411-ROC-XRF-W59-000036,R1O-WEG-TIJ-SPW xref annotatie afbraak Van der Delfstraat,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2458,OWRB-06411-ROC-XRF-W59-000035,R1O-WEG-TIJ-SPW xref geometrie afbraak Van der Delfstraat,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2457,OWRB-06411-ROC-XRF-W59-000034,R1O-WEG-TIJ-SPW xref annotatie aanleg Van der Delfstraat,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2456,OWRB-06411-ROC-XRF-W59-000033,R1O-WEG-TIJ-SPW xref geometrie aanleg Van der Delfstraat,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2402,OWRB-07919-ROC-BMO-W66-000001,"R1O-HW-BT-Holcim (obj.05591), Levanto (obj.05592) Gommaire (obj.05593) en Rental (obj.05594)",Vervallen,Ja,Obj-07919,Terreinen Betofin,Ja
MDL-2401,OWRB-06411-ROC-XRF-W59-000032,R1O-WEG-TIJ-SPW Deel 2 fase 13 xref annotatie,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2393,OWRB-06411-ROC-DMO-W59-000001,R1O-WEG-TIJ-SPW Deel 2 fase 2,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2392,OWRB-06411-ROC-BMO-W59-000001,R1O-WEG-TIJ-SPW Deel 2 fase 2,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2390,OWRB-01600-ROC-BMO-W66-000001,R1O-HW-BT - Pompstation Groot Schijn,Nieuw,Ja,,,
MDL-2312,OWRB-06411-ROC-XRF-W59-000031,R1O-WEG-TIJ-SPW Deel 2 fase 13 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2298,OWRB-06411-ROC-XRF-W59-000030,R1O-WEG-TIJ-SPW Deel 2 fase 12 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2297,OWRB-06411-ROC-XRF-W59-000029,R1O-WEG-TIJ-SPW Deel 2 fase 12 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2296,OWRB-06411-ROC-XRF-W59-000028,R1O-WEG-TIJ-SPW Deel 2 fase 11 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2295,OWRB-06411-ROC-XRF-W59-000027,R1O-WEG-TIJ-SPW Deel 2 fase 11 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2294,OWRB-06411-ROC-XRF-W59-000026,R1O-WEG-TIJ-SPW Deel 2 fase 11 xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2293,OWRB-06411-ROC-XRF-W59-000025,R1O-WEG-TIJ-SPW Deel 2 fase 11 xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2292,OWRB-06411-ROC-XRF-W59-000024,R1O-WEG-TIJ-SPW Deel 2 fase 10 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2291,OWRB-06411-ROC-XRF-W59-000023,R1O-WEG-TIJ-SPW Deel 2 fase 10 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2290,OWRB-06411-ROC-XRF-W59-000022,R1O-WEG-TIJ-SPW Deel 2 fase 9 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2289,OWRB-06411-ROC-XRF-W59-000021,R1O-WEG-TIJ-SPW Deel 2 fase 9 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2288,OWRB-06411-ROC-XRF-W59-000020,R1O-WEG-TIJ-SPW Deel 2 fase 2B xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2287,OWRB-06411-ROC-XRF-W59-000019,R1O-WEG-TIJ-SPW Deel 2 fase 2B xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2286,OWRB-06411-ROC-XRF-W59-000018,R1O-WEG-TIJ-SPW Deel 2 fase 8 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2285,OWRB-06411-ROC-XRF-W59-000017,R1O-WEG-TIJ-SPW Deel 2 fase 8 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2284,OWRB-06411-ROC-XRF-W59-000016,R1O-WEG-TIJ-SPW Deel 2 fase 8 xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2283,OWRB-06411-ROC-XRF-W59-000015,R1O-WEG-TIJ-SPW Deel 2 fase 8 xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2282,OWRB-06411-ROC-XRF-W59-000014,R1O-WEG-TIJ-SPW Deel 2 fase 7 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2281,OWRB-06411-ROC-XRF-W59-000013,R1O-WEG-TIJ-SPW Deel 2 fase 7 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2280,OWRB-06411-ROC-XRF-W59-000012,R1O-WEG-TIJ-SPW Deel 2 fase 7 xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2279,OWRB-06411-ROC-XRF-W59-000011,R1O-WEG-TIJ-SPW Deel 2 fase 7 xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2278,OWRB-06411-ROC-XRF-W59-000010,R1O-WEG-TIJ-SPW Deel 2 fase 3 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2277,OWRB-06411-ROC-XRF-W59-000009,R1O-WEG-TIJ-SPW Deel 2 fase 3 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2276,OWRB-06411-ROC-XRF-W59-000008,R1O-WEG-TIJ-SPW Deel 2 fase 2 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2275,OWRB-06411-ROC-XRF-W59-000007,R1O-WEG-TIJ-SPW Deel 2 fase 2 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2274,OWRB-06411-ROC-XRF-W59-000006,R1O-WEG-TIJ-SPW Deel 2 fase 2 xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2273,OWRB-06411-ROC-XRF-W59-000005,R1O-WEG-TIJ-SPW Deel 2 fase 2 xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2272,OWRB-06411-ROC-XRF-W59-000004,R1O-WEG-TIJ-SPW Deel 2 fase 1 xref annotatie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2271,OWRB-06411-ROC-XRF-W59-000003,R1O-WEG-TIJ-SPW Deel 2 fase 1 xref geometrie aanleg,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2270,OWRB-06411-ROC-XRF-W59-000002,R1O-WEG-TIJ-SPW Deel 2 fase 1 xref annotatie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2266,OWRB-06411-ROC-XRF-W59-000001,R1O-WEG-TIJ-SPW Deel 2 fase 1 xref geometrie afbraak,Nieuw,Ja,Obj-06411,K&L oplossing Schijnpoort,Ja
MDL-2265,OWRB-00ALG-ROC-XRF-W32-000001.dwg,test xrf,Vervallen,Ja,,,
MDL-2264,OWRB-05825-ROC-DMO-W62-000002,R1O-LS-OT-Landschap - Passage van wildlife 4m,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2263,OWRB-05825-ROC-BMO-W62-000002,R1O-LS-OT-Landschap - Passage van wildlife dive under zuid 4m,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-2261,OWRB-02861-ROC-DMO-W28-000001,R1ON-FA-TU-grondverzet inkokering groot Schijn,Nieuw,Ja,,,
MDL-2260,OWRB-02861-ROC-BMO-W28-000001,R1ON-FA-TU-grondverzet inkokering groot Schijn,Nieuw,Ja,,,
MDL-2197,OWRB-05063-ROC-QMO-W66-000001,R1ON-HW-OT-Afwateringskoker Groot Schijn,Nieuw,Ja,,,
MDL-2195,OWRB-02861-LAN-QMO-W66-000002,R1O-HW-NT_Groot Schijn (waterloop) Open dak VO,Vervallen,Ja,Obj-05063,Afwateringskoker Groot Schijn,Ja
MDL-2192,OWRB-05063-LAN-QMO-W66-000001,R1O-RIO-Groot Schijn (waterloop) Open dak,Nieuw,Ja,,,
MDL-2164,OWRB-02693-LAN-DMO-W66-000001,,Nieuw,Ja,,,
MDL-2163,OWRB-02693-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Hof ter Lo (OHtL),Nieuw,Ja,Obj-02693,Vloeistofkelder Hof ter Lo (OHtL),Ja
MDL-2163,OWRB-02693-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Hof ter Lo (OHtL),Nieuw,Ja,Obj-06667,WE: Buitenpompinstallatie  Vloeistofkelder Onderdoorgang Hof ter Lo (OHtL),Ja
MDL-2162,OWRB-04984-LAN-DMO-W66-000001,,Nieuw,Ja,,,
MDL-2161,OWRB-04984-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Kap Hof ter Lo (KHtL),Nieuw,Ja,Obj-06669,Schoonvloeistofpompinstallatie KHtL ---VERVALLEN---,Nee
MDL-2161,OWRB-04984-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Kap Hof ter Lo (KHtL),Nieuw,Ja,Obj-04984,Vloeistofkelder Kap Hof ter Lo (KHtL),Ja
MDL-2161,OWRB-04984-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Kap Hof ter Lo (KHtL),Nieuw,Ja,Obj-06668,Vuilvloeistofpompinstallatie KHtL ---VERVALLEN---,Nee
MDL-2161,OWRB-04984-LAN-BMO-W66-000001,R1O-RIO-Vloeistofkelder Kap Hof ter Lo (KHtL),Nieuw,Ja,Obj-05249,WF: Buitenpompinstallatie Vloeistofkelder Kap Hof ter Lo (KHtL),Ja
MDL-2145,OWRB-05870-LAN-TMO-W59-000001,Grondplan configuratie knoop R1 Oost,Nieuw,Ja,,,
MDL-2134,OWRB-02523-LAN-DMO-W59-000008,004-WEG-R1S-GWB1,Nieuw,Ja,,,
MDL-2130,OWRB-05527-LAN-XRB-W59-000001,,Nieuw,Ja,,,
MDL-2129,OWRB-05527-LAN-XRA-W59-000001,,Nieuw,Ja,,,
MDL-2128,OWRB-05228-LAN-XRB-W59-000001,,Nieuw,Ja,,,
MDL-2127,OWRB-05228-LAN-XRA-W59-000001,,Nieuw,Ja,,,
MDL-2015,OWRB-06221-ROC-DMO-W28-000002,,Nieuw,Ja,,,
MDL-2014,OWRB-06221-ROC-BMO-W28-000002,R1O-FA-TIJ-Bodem Ontgraving Dive Under,Nieuw,Ja,,,
MDL-2013,OWRB-06221-ROC-DMO-W28-000001,,Nieuw,Ja,,,
MDL-2012,OWRB-06221-ROC-BMO-W28-000001,R1O-FA-TIJ-Ontgravingsmodel Dive Under,Nieuw,Ja,Obj-06290,Dive under aansluiting van R1 naar E313 (MWQ1),Ja
MDL-1997,OWRB-06819-ROC-DMO-W66-000001,R1O-FP-OT-Fietstunnel Turnhoutsebaan ==> is OWRO model nu,Vervallen,Ja,Obj-06819,Fietstunnel Turnhoutsebaan,Ja
MDL-1994,OWRB-06819-ROC-BMO-W66-000001,R1O-FP-OT-Fietstunnel Turnhoutsebaan  ==> is OWRO model nu,Vervallen,Ja,Obj-06819,Fietstunnel Turnhoutsebaan,Ja
MDL-1990,OWRB-04042-ROC-TMO-W66-000001,R1ON-HW-OT-Sectieboek Schijnpoorttunnel,Nieuw,Ja,Obj-04042,Tunnelconstructie Schijnpoort,Ja
MDL-1989,OWRB-05527-ROC-DMO-W66-000001,,Nieuw,Ja,,,
MDL-1988,OWRB-05527-ROC-BMO-W66-000001,,Nieuw,Ja,,,
MDL-1985,OWRB-05825-ROC-DMO-W62-000001,R1O-LS-OT-Landschap,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-1984,OWRB-05825-ROC-BMO-W62-000001,R1O-LS-OT-Landschap,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-1956,OWRB-02669-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-02669,Hoofdkelder TSCH-Z,Ja
MDL-1956,OWRB-02669-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06643,Schoonvloeistofpompinstallatie TSCH-Z ---VERVALLEN---,Nee
MDL-1956,OWRB-02669-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06648,Vuilvloeistofpompinstallatie TSCH-Z ---VERVALLEN---,Nee
MDL-1956,OWRB-02669-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06503,WH: Drainage-pompinstallatie van Hoofdkelder Schijnpoort (TSCH-Z),Ja
MDL-1955,OWRB-02669-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-02669,Hoofdkelder TSCH-Z,Ja
MDL-1955,OWRB-02669-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06643,Schoonvloeistofpompinstallatie TSCH-Z ---VERVALLEN---,Nee
MDL-1955,OWRB-02669-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06648,Vuilvloeistofpompinstallatie TSCH-Z ---VERVALLEN---,Nee
MDL-1955,OWRB-02669-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - zuid (TSCH-Z),Nieuw,Ja,Obj-06503,WH: Drainage-pompinstallatie van Hoofdkelder Schijnpoort (TSCH-Z),Ja
MDL-1954,OWRB-04987-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-04987,Hoofdkelder TSCH-N,Ja
MDL-1954,OWRB-04987-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-06347,WA: Drainage-pompinstallatie  Nevenhoofdkelder  Schijnpoort (TSCH-N),Ja
MDL-1954,OWRB-04987-LAN-DMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-06651,WA: Hoofdpompinstallatie Nevenhoofdkelder Schijnpoort (TSCH-N),Ja
MDL-1953,OWRB-04987-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-04987,Hoofdkelder TSCH-N,Ja
MDL-1953,OWRB-04987-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-06347,WA: Drainage-pompinstallatie  Nevenhoofdkelder  Schijnpoort (TSCH-N),Ja
MDL-1953,OWRB-04987-LAN-BMO-W66-000001,R1O-RIO-OT-Vloeistofkelder Schijnpoorttunnel - noord (TSCH-N),Nieuw,Ja,Obj-06651,WA: Hoofdpompinstallatie Nevenhoofdkelder Schijnpoort (TSCH-N),Ja
MDL-1943,OWVA-S0170-LAN-DMO-W69-000001,SYS0170 - LP6b (poldersysteem),Nieuw,Ja,Obj-06413,Drainagestelsel polder R1 Oost -7.500 (VLR1-PN),Ja
MDL-1943,OWVA-S0170-LAN-DMO-W69-000001,SYS0170 - LP6b (poldersysteem),Nieuw,Ja,Obj-06412,Transportleiding ​DV TSCH-N​,Ja
MDL-1942,OWVA-S0170-LAN-BMO-W69-000001,SYS0170 - LP6b (poldersysteem),Nieuw,Ja,Obj-06413,Drainagestelsel polder R1 Oost -7.500 (VLR1-PN),Ja
MDL-1942,OWVA-S0170-LAN-BMO-W69-000001,SYS0170 - LP6b (poldersysteem),Nieuw,Ja,Obj-06412,Transportleiding ​DV TSCH-N​,Ja
MDL-1941,OWVA-S0169-LAN-DMO-W69-000001,SYS0169 - LP5 (poldersysteem),Nieuw,Ja,Obj-06506,Drainagestelsel OKA-PZ (van polder R1 Oost - IJzerlaan -8.200),Ja
MDL-1941,OWVA-S0169-LAN-DMO-W69-000001,SYS0169 - LP5 (poldersysteem),Nieuw,Ja,Obj-06507,Transportleiding DV TOKA-Z,Ja
MDL-1940,OWVA-S0169-LAN-BMO-W69-000001,SYS0169 - LP5 (poldersysteem),Nieuw,Ja,Obj-06506,Drainagestelsel OKA-PZ (van polder R1 Oost - IJzerlaan -8.200),Ja
MDL-1940,OWVA-S0169-LAN-BMO-W69-000001,SYS0169 - LP5 (poldersysteem),Nieuw,Ja,Obj-06507,Transportleiding DV TOKA-Z,Ja
MDL-1933,OWVA-S0102-LAN-DMO-W69-000001,SYS0102 - LP6a (poldersysteem),Nieuw,Ja,Obj-06502,Drainagestelsel polder R1 Oost -4.000 (VLR1-PZ),Ja
MDL-1933,OWVA-S0102-LAN-DMO-W69-000001,SYS0102 - LP6a (poldersysteem),Nieuw,Ja,Obj-06504,Transportleiding ​DV TSCH-Z​,Ja
